market,method,ma_period,htf,band_mult,trades,win_rate,avg_rr,total_r,max_dd_r,profit_factor,tp,sl,timeout,avg_hold_bars,confirms
GOLD,Fib500,0,M1,0.05,11,36.36363636363637,0.09090909090909091,1.0,4.0,1.1428571428571428,4,7,0,5.7272727272727275,"{'wick_reject': {'trades': 11, 'wins': 4, 'total_r': np.float64(1.0)}}"
GOLD,EMA13,13,M5,0.2,106,38.67924528301887,0.17795787143428593,18.86353437203431,7.0,1.2987739998496033,41,63,2,34.41509433962264,"{'close_bounce': {'trades': 75, 'wins': 33, 'total_r': np.float64(24.922730989370407)}, 'wick_reject': {'trades': 31, 'wins': 8, 'total_r': np.float64(-6.059196617336098)}}"
GOLD,EMA13,13,M5,0.3,108,38.88888888888889,0.18392161455587322,19.86353437203431,8.0,1.3097073432024782,42,64,2,33.175925925925924,"{'close_bounce': {'trades': 77, 'wins': 31, 'total_r': np.float64(16.922730989370407)}, 'wick_reject': {'trades': 31, 'wins': 11, 'total_r': np.float64(2.9408033826639013)}}"
GOLD,EMA13,13,M5,0.5,112,32.142857142857146,-0.03256065800008404,-3.6467936960094125,16.0,0.9508097173891471,35,74,3,33.125,"{'close_bounce': {'trades': 77, 'wins': 23, 'total_r': np.float64(-8.587597078673314)}, 'wick_reject': {'trades': 35, 'wins': 13, 'total_r': np.float64(4.940803382663901)}}"
GOLD,EMA13,13,M15,0.2,71,49.29577464788733,0.3942647471009435,27.992797044166988,7.0,1.7775776956713054,31,36,4,77.80281690140845,"{'close_bounce': {'trades': 50, 'wins': 28, 'total_r': np.float64(27.992797044166988)}, 'wick_reject': {'trades': 21, 'wins': 7, 'total_r': np.float64(0.0)}}"
GOLD,EMA13,13,M15,0.3,74,47.2972972972973,0.3306185447966209,24.465772314949948,9.82998171846436,1.6273274952551269,31,39,4,82.12162162162163,"{'close_bounce': {'trades': 53, 'wins': 28, 'total_r': np.float64(24.465772314949948)}, 'wick_reject': {'trades': 21, 'wins': 7, 'total_r': np.float64(0.0)}}"
GOLD,EMA13,13,M15,0.5,84,48.80952380952381,0.397356841617885,33.37797469590234,9.087797619047606,1.79305586379261,37,42,5,81.36904761904762,"{'close_bounce': {'trades': 57, 'wins': 33, 'total_r': np.float64(36.377974695902346)}, 'wick_reject': {'trades': 27, 'wins': 8, 'total_r': np.float64(-3.0)}}"
GOLD,EMA21,21,M5,0.2,89,38.20224719101123,0.16700600418016076,14.863534372034309,12.0,1.2797238054202016,34,53,2,33.831460674157306,"{'wick_reject': {'trades': 28, 'wins': 9, 'total_r': np.float64(-0.05919661733609782)}, 'close_bounce': {'trades': 61, 'wins': 25, 'total_r': np.float64(14.922730989370406)}}"
GOLD,EMA21,21,M5,0.3,93,39.784946236559136,0.2135863910971431,19.86353437203431,10.0,1.366915980598727,37,54,2,35.55913978494624,"{'wick_reject': {'trades': 31, 'wins': 11, 'total_r': np.float64(2.9408033826639013)}, 'close_bounce': {'trades': 62, 'wins': 26, 'total_r': np.float64(16.922730989370407)}}"
GOLD,EMA21,21,M5,0.5,97,38.144329896907216,0.16354159146427122,15.863534372034309,10.0,1.2728671961854419,37,58,2,35.51546391752577,"{'wick_reject': {'trades': 34, 'wins': 13, 'total_r': np.float64(5.940803382663901)}, 'close_bounce': {'trades': 63, 'wins': 24, 'total_r': np.float64(9.922730989370406)}}"
GOLD,EMA21,21,M15,0.2,42,40.476190476190474,0.12285917203084266,5.160085225295392,12.0,1.2064034090118156,14,25,3,77.21428571428571,"{'close_bounce': {'trades': 28, 'wins': 12, 'total_r': np.float64(4.160085225295392)}, 'wick_reject': {'trades': 14, 'wins': 5, 'total_r': np.float64(1.0)}}"
GOLD,EMA21,21,M15,0.3,51,43.13725490196079,0.2508800286968612,12.794881463539923,14.205118536460077,1.4412028090875835,20,29,2,81.09803921568627,"{'close_bounce': {'trades': 35, 'wins': 15, 'total_r': np.float64(7.794881463539925)}, 'wick_reject': {'trades': 16, 'wins': 7, 'total_r': np.float64(5.0)}}"
GOLD,EMA21,21,M15,0.5,64,48.4375,0.3654860347203145,23.391106222100127,10.205118536460077,1.708821400669701,27,33,4,81.5625,"{'close_bounce': {'trades': 45, 'wins': 23, 'total_r': np.float64(18.391106222100127)}, 'wick_reject': {'trades': 19, 'wins': 8, 'total_r': np.float64(5.0)}}"
USDJPY,Fib500,0,M1,0.05,14,50.0,0.5,7.0,4.0,2.0,7,7,0,21.857142857142858,"{'wick_reject': {'trades': 14, 'wins': 7, 'total_r': np.float64(7.0)}}"
USDJPY,EMA13,13,M5,0.2,251,31.07569721115538,-0.0732498259982791,-18.385706325568055,42.38570632556805,0.8930510519693257,76,171,4,55.581673306772906,"{'close_bounce': {'trades': 181, 'wins': 58, 'total_r': np.float64(-6.608727908301692)}, 'wick_reject': {'trades': 70, 'wins': 20, 'total_r': np.float64(-11.776978417266365)}}"
USDJPY,EMA13,13,M5,0.3,255,30.19607843137255,-0.09592070744957701,-24.45978039964214,40.38570632556805,0.8610122301909929,75,175,5,54.82745098039216,"{'close_bounce': {'trades': 185, 'wins': 59, 'total_r': np.float64(-6.6828019823757785)}, 'wick_reject': {'trades': 70, 'wins': 18, 'total_r': np.float64(-17.776978417266363)}}"
USDJPY,EMA13,13,M5,0.5,264,27.27272727272727,-0.18716780051845885,-49.41229933687314,53.41229933687314,0.741176330895163,70,190,4,53.29924242424242,"{'close_bounce': {'trades': 191, 'wins': 55, 'total_r': np.float64(-25.60872790830169)}, 'wick_reject': {'trades': 73, 'wins': 17, 'total_r': np.float64(-23.80357142857145)}}"
USDJPY,EMA13,13,M15,0.2,162,32.098765432098766,-0.059605579592626336,-9.656103894005467,25.306749121324216,0.9086773851455435,46,103,13,93.21604938271605,"{'close_bounce': {'trades': 123, 'wins': 33, 'total_r': np.float64(-23.161030563416567)}, 'wick_reject': {'trades': 39, 'wins': 19, 'total_r': np.float64(13.504926669411105)}}"
USDJPY,EMA13,13,M15,0.3,176,30.113636363636363,-0.11979321128992458,-21.083605187026727,29.779381604536784,0.8224331770386486,47,116,13,93.92045454545455,"{'close_bounce': {'trades': 137, 'wins': 36, 'total_r': np.float64(-30.181635304713694)}, 'wick_reject': {'trades': 39, 'wins': 17, 'total_r': np.float64(9.098030117686971)}}"
USDJPY,EMA13,13,M15,0.5,198,31.818181818181817,-0.06878320749236051,-13.619075083487381,28.847340951405,0.8948132147115022,56,127,15,96.46969696969697,"{'wick_reject': {'trades': 38, 'wins': 17, 'total_r': np.float64(11.728282218527214)}, 'close_bounce': {'trades': 160, 'wins': 46, 'total_r': np.float64(-25.347357302014604)}}"
USDJPY,EMA21,21,M5,0.2,227,32.158590308370044,-0.05138210245044135,-11.663737256250187,35.66373725625019,0.9240137053850573,70,153,4,52.3215859030837,"{'close_bounce': {'trades': 160, 'wins': 53, 'total_r': np.float64(-2.8867588389838197)}, 'wick_reject': {'trades': 67, 'wins': 20, 'total_r': np.float64(-8.776978417266363)}}"
USDJPY,EMA21,21,M5,0.3,232,31.46551724137931,-0.06200735485158643,-14.385706325568052,36.38570632556805,0.9088999407726283,71,157,4,53.064655172413794,"{'close_bounce': {'trades': 157, 'wins': 52, 'total_r': np.float64(-0.6087279083016917)}, 'wick_reject': {'trades': 75, 'wins': 21, 'total_r': np.float64(-13.776978417266363)}}"
USDJPY,EMA21,21,M5,0.5,241,30.29045643153527,-0.0970361258322326,-23.38570632556806,40.38570632556806,0.859891206504118,71,166,4,55.477178423236516,"{'close_bounce': {'trades': 167, 'wins': 52, 'total_r': np.float64(-10.608727908301692)}, 'wick_reject': {'trades': 74, 'wins': 21, 'total_r': np.float64(-12.776978417266365)}}"
USDJPY,EMA21,21,M15,0.2,117,32.47863247863248,-0.024970670481598473,-2.9215684463470213,19.15217036674528,0.9613145010881603,35,74,8,89.03418803418803,"{'close_bounce': {'trades': 76, 'wins': 26, 'total_r': np.float64(4.805292963712034)}, 'wick_reject': {'trades': 41, 'wins': 12, 'total_r': np.float64(-7.7268614100590565)}}"
USDJPY,EMA21,21,M15,0.3,132,37.121212121212125,0.09478316329560238,12.511377555019514,10.0,1.15625570077304,44,79,9,88.62878787878788,"{'close_bounce': {'trades': 81, 'wins': 29, 'total_r': np.float64(6.2382389650785655)}, 'wick_reject': {'trades': 51, 'wins': 20, 'total_r': np.float64(6.2731385899409435)}}"
USDJPY,EMA21,21,M15,0.5,152,34.868421052631575,0.026738123049021078,4.064194703451204,16.911150598782257,1.042520125447035,48,94,10,84.97368421052632,"{'close_bounce': {'trades': 98, 'wins': 33, 'total_r': np.float64(2.734376506294069)}, 'wick_reject': {'trades': 54, 'wins': 20, 'total_r': np.float64(1.329818197157132)}}"
BTCUSD,Fib500,0,M1,0.05,71,42.25352112676056,0.2676056338028169,19.0,6.0,1.4634146341463414,30,41,0,2.563380281690141,"{'wick_reject': {'trades': 71, 'wins': 30, 'total_r': np.float64(19.0)}}"
BTCUSD,EMA13,13,M5,0.2,605,35.53719008264463,0.06460728501237076,39.087407432484305,26.0,1.1004120431844655,214,389,2,22.97190082644628,"{'wick_reject': {'trades': 172, 'wins': 60, 'total_r': np.float64(8.0)}, 'close_bounce': {'trades': 433, 'wins': 155, 'total_r': np.float64(31.087407432484305)}}"
BTCUSD,EMA13,13,M5,0.3,611,36.661211129296234,0.09834272902206923,60.0874074324843,20.0,1.1555580029498107,223,386,2,22.590834697217677,"{'wick_reject': {'trades': 172, 'wins': 60, 'total_r': np.float64(8.0)}, 'close_bounce': {'trades': 439, 'wins': 164, 'total_r': np.float64(52.087407432484305)}}"
BTCUSD,EMA13,13,M5,0.5,628,37.898089171974526,0.13548950228102596,85.08740743248431,24.0,1.2185819165500433,237,389,2,22.5,"{'wick_reject': {'trades': 168, 'wins': 59, 'total_r': np.float64(9.0)}, 'close_bounce': {'trades': 460, 'wins': 179, 'total_r': np.float64(76.08740743248431)}}"
BTCUSD,EMA13,13,M15,0.2,416,33.65384615384615,0.005132809153949023,2.1352486080427937,35.19035788286215,1.0079087806596418,135,268,13,63.07211538461539,"{'close_bounce': {'trades': 311, 'wins': 108, 'total_r': np.float64(10.270538857333214)}, 'wick_reject': {'trades': 105, 'wins': 32, 'total_r': np.float64(-8.13529024929043)}}"
BTCUSD,EMA13,13,M15,0.3,448,34.151785714285715,0.02039117992866692,9.13524860804278,33.19035788286215,1.0316115464501523,148,287,13,61.395089285714285,"{'close_bounce': {'trades': 330, 'wins': 115, 'total_r': np.float64(12.270538857333214)}, 'wick_reject': {'trades': 118, 'wins': 38, 'total_r': np.float64(-3.1352902492904295)}}"
BTCUSD,EMA13,13,M15,0.5,506,33.59683794466403,0.0061748720091377085,3.1244852366236806,29.201121254281258,1.0094970508238168,165,327,14,60.04545454545455,"{'close_bounce': {'trades': 376, 'wins': 126, 'total_r': np.float64(0.2597754859141119)}, 'wick_reject': {'trades': 130, 'wins': 44, 'total_r': np.float64(2.8647097507095705)}}"
BTCUSD,EMA21,21,M5,0.2,530,33.77358490566038,0.013158171302167083,6.973830790148554,38.0,1.019960378775064,178,349,3,24.433962264150942,"{'close_bounce': {'trades': 397, 'wins': 140, 'total_r': np.float64(22.973830790148554)}, 'wick_reject': {'trades': 133, 'wins': 39, 'total_r': np.float64(-16.0)}}"
BTCUSD,EMA21,21,M5,0.3,556,35.25179856115108,0.05750688991033913,31.973830790148554,31.0,1.089216757577641,195,358,3,24.47482014388489,"{'close_bounce': {'trades': 416, 'wins': 149, 'total_r': np.float64(30.973830790148554)}, 'wick_reject': {'trades': 140, 'wins': 47, 'total_r': np.float64(1.0)}}"
BTCUSD,EMA21,21,M5,0.5,583,36.36363636363637,0.09086420375668705,52.973830790148554,27.64247921390777,1.1434113964012063,211,369,3,23.274442538593483,"{'close_bounce': {'trades': 434, 'wins': 166, 'total_r': np.float64(63.973830790148554)}, 'wick_reject': {'trades': 149, 'wins': 46, 'total_r': np.float64(-11.0)}}"
BTCUSD,EMA21,21,M15,0.2,296,31.756756756756754,-0.05629780739110849,-16.664150987768114,28.90258408851255,0.9159714069032657,90,197,9,61.24324324324324,"{'close_bounce': {'trades': 213, 'wins': 77, 'total_r': np.float64(14.471139261522314)}, 'wick_reject': {'trades': 83, 'wins': 17, 'total_r': np.float64(-31.13529024929043)}}"
BTCUSD,EMA21,21,M15,0.3,340,33.52941176470588,-0.0019533852581415214,-0.6641509877681173,27.902584088512555,0.9970125710939781,110,221,9,59.747058823529414,"{'close_bounce': {'trades': 246, 'wins': 96, 'total_r': np.float64(38.47113926152232)}, 'wick_reject': {'trades': 94, 'wins': 18, 'total_r': np.float64(-39.135290249290435)}}"
BTCUSD,EMA21,21,M15,0.5,402,35.82089552238806,0.07011125276194681,28.18472361030262,29.0,1.1111970933954862,140,252,10,58.701492537313435,"{'close_bounce': {'trades': 289, 'wins': 119, 'total_r': np.float64(65.32001385959305)}, 'wick_reject': {'trades': 113, 'wins': 25, 'total_r': np.float64(-37.135290249290435)}}"
